2026-06-30 13:59:33 | buyer=Ken | qty=5 | student=p20240034 | remaining=195
2026-06-30 14:07:06 | buyer=buyer15 | qty=1 | student=p20240034 | remaining=-1
2026-06-30 14:07:06 | buyer=buyer25 | qty=1 | student=p20240034 | remaining=197
2026-06-30 14:07:06 | buyer=buyer8 | qty=1 | student=p20240034 | remaining=-1
2026-06-30 14:07:06 | buyer=buyer13 | qty=1 | student=p20240034 | remaining=-1
2026-06-30 14:07:06 | buyer=buyer10 | qty=1 | student=p20240034 | remaining=198
2026-06-30 14:07:06 | buyer=buyer12 | qty=1 | student=p20240034 | remaining=198
2026-06-30 14:07:06 | buyer=buyer7 | qty=1 | student=p20240034 | remaining=198
2026-06-30 14:07:06 | buyer=buyer21 | qty=1 | student=p20240034 | remaining=197
2026-06-30 14:07:06 | buyer=buyer34 | qty=1 | student=p20240034 | remaining=-1
2026-06-30 14:07:06 | buyer=buyer14 | qty=1 | student=p20240034 | remaining=197
2026-06-30 14:07:06 | buyer=buyer16 | qty=1 | student=p20240034 | remaining=-1
2026-06-30 14:07:06 | buyer=buyer38 | qty=1 | student=p20240034 | remaining=-1
2026-06-30 14:07:06 | buyer=buyer39 | qty=1 | student=p20240034 | remaining=-1
2026-06-30 14:07:06 | buyer=buyer28 | qty=1 | student=p20240034 | remaining=-1
2026-06-30 14:07:06 | buyer=buyer37 | qty=1 | student=p20240034 | remaining=196
2026-06-30 14:07:06 | buyer=buyer40 | qty=1 | student=p20240034 | remaining=-1
2026-06-30 14:07:06 | buyer=buyer31 | qty=1 | student=p20240034 | remaining=-1
2026-06-30 14:07:06 | buyer=buyer29 | qty=1 | student=p20240034 | remaining=196
2026-06-30 14:07:06 | buyer=buyer32 | qty=1 | student=p20240034 | remaining=196
2026-06-30 14:07:06 | buyer=buyer27 | qty=1 | student=p20240034 | remaining=-1
2026-06-30 14:07:06 | buyer=buyer18 | qty=1 | student=p20240034 | remaining=-1
2026-06-30 14:07:06 | buyer=buyer36 | qty=1 | student=p20240034 | remaining=-1
2026-06-30 14:07:06 | buyer=buyer33 | qty=1 | student=p20240034 | remaining=-1
2026-06-30 14:07:06 | buyer=buyer22 | qty=1 | student=p20240034 | remaining=196
2026-06-30 14:07:06 | buyer=buyer26 | qty=1 | student=p20240034 | remaining=-1
2026-06-30 14:07:06 | buyer=buyer35 | qty=1 | student=p20240034 | remaining=-1
2026-06-30 14:08:43 | buyer=buyer1 | qty=1 | student=p20240034 | remaining=199
2026-06-30 14:08:43 | buyer=buyer2 | qty=1 | student=p20240034 | remaining=198
2026-06-30 14:08:43 | buyer=buyer3 | qty=1 | student=p20240034 | remaining=197
2026-06-30 14:08:43 | buyer=buyer4 | qty=1 | student=p20240034 | remaining=196
2026-06-30 14:08:43 | buyer=buyer5 | qty=1 | student=p20240034 | remaining=195
2026-06-30 14:08:43 | buyer=buyer8 | qty=1 | student=p20240034 | remaining=194
2026-06-30 14:08:43 | buyer=buyer11 | qty=1 | student=p20240034 | remaining=193
2026-06-30 14:08:43 | buyer=buyer7 | qty=1 | student=p20240034 | remaining=192
2026-06-30 14:08:43 | buyer=buyer6 | qty=1 | student=p20240034 | remaining=191
2026-06-30 14:08:43 | buyer=buyer12 | qty=1 | student=p20240034 | remaining=190
2026-06-30 14:08:43 | buyer=buyer14 | qty=1 | student=p20240034 | remaining=189
2026-06-30 14:08:43 | buyer=buyer13 | qty=1 | student=p20240034 | remaining=188
2026-06-30 14:08:43 | buyer=buyer19 | qty=1 | student=p20240034 | remaining=187
2026-06-30 14:08:43 | buyer=buyer17 | qty=1 | student=p20240034 | remaining=186
2026-06-30 14:08:43 | buyer=buyer15 | qty=1 | student=p20240034 | remaining=185
2026-06-30 14:08:43 | buyer=buyer10 | qty=1 | student=p20240034 | remaining=184
2026-06-30 14:08:43 | buyer=buyer9 | qty=1 | student=p20240034 | remaining=183
2026-06-30 14:08:43 | buyer=buyer18 | qty=1 | student=p20240034 | remaining=182
2026-06-30 14:08:43 | buyer=buyer24 | qty=1 | student=p20240034 | remaining=181
2026-06-30 14:08:43 | buyer=buyer20 | qty=1 | student=p20240034 | remaining=180
2026-06-30 14:08:43 | buyer=buyer23 | qty=1 | student=p20240034 | remaining=179
2026-06-30 14:08:43 | buyer=buyer22 | qty=1 | student=p20240034 | remaining=178
2026-06-30 14:08:43 | buyer=buyer21 | qty=1 | student=p20240034 | remaining=177
2026-06-30 14:08:43 | buyer=buyer16 | qty=1 | student=p20240034 | remaining=176
2026-06-30 14:08:43 | buyer=buyer25 | qty=1 | student=p20240034 | remaining=175
2026-06-30 14:08:43 | buyer=buyer29 | qty=1 | student=p20240034 | remaining=174
2026-06-30 14:08:43 | buyer=buyer32 | qty=1 | student=p20240034 | remaining=173
2026-06-30 14:08:43 | buyer=buyer26 | qty=1 | student=p20240034 | remaining=172
2026-06-30 14:08:43 | buyer=buyer28 | qty=1 | student=p20240034 | remaining=171
2026-06-30 14:08:43 | buyer=buyer27 | qty=1 | student=p20240034 | remaining=170
2026-06-30 14:08:43 | buyer=buyer34 | qty=1 | student=p20240034 | remaining=169
2026-06-30 14:08:43 | buyer=buyer38 | qty=1 | student=p20240034 | remaining=168
2026-06-30 14:08:43 | buyer=buyer40 | qty=1 | student=p20240034 | remaining=167
2026-06-30 14:08:43 | buyer=buyer30 | qty=1 | student=p20240034 | remaining=166
2026-06-30 14:08:43 | buyer=buyer36 | qty=1 | student=p20240034 | remaining=165
2026-06-30 14:08:43 | buyer=buyer33 | qty=1 | student=p20240034 | remaining=164
2026-06-30 14:08:43 | buyer=buyer37 | qty=1 | student=p20240034 | remaining=163
2026-06-30 14:08:43 | buyer=buyer35 | qty=1 | student=p20240034 | remaining=162
2026-06-30 14:08:43 | buyer=buyer31 | qty=1 | student=p20240034 | remaining=161
2026-06-30 14:08:43 | buyer=buyer39 | qty=1 | student=p20240034 | remaining=160
